[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_1469],[protein_id=CAK23895.1],[gene=phnC],[protein=ABC-type phosphate/phosphonate transport system permease component],[locus_tag=PMM0671],[protein_id=CAE19130.1],[gene=None],[protein=putative phosphonate ABC transporter],[evalue=3.26825E-111]
[locus_tag=SynWH7803_1470],[protein_id=CAK23896.1],[gene=phnE],[protein=ABC-type phosphate/phosphonate transport system ATPase component],[locus_tag=PMM0672],[protein_id=CAE19131.1],[gene=None],[protein=Putative phosphonate ABC transporter],[evalue=2.51362E-55],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=5.59663E-23],[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[evalue=1.02613E-21]
[locus_tag=SynWH7803_1471],[protein_id=CAK23897.1],[gene=phnD],[protein=ABC-type phosphate/phosphonate transport system periplasmic component],[locus_tag=PMM0673],[protein_id=CAE19132.1],[gene=None],[protein=Putative phosphonate binding protein for ABC transporter],[evalue=1.46057E-112]
[locus_tag=SynWH7803_1472],[protein_id=CAK23898.1],[gene=aspC],[protein=Aspartate aminotransferase],[locus_tag=PMM0674],[protein_id=CAE19133.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=3.69308E-169],[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[evalue=7.98760E-14]
[locus_tag=SynWH7803_1474],[protein_id=CAK23900.1],[gene=None],[protein=Uracil-DNA glycosylase],[locus_tag=PMM0675],[protein_id=CAE19134.1],[gene=None],[protein=Uracil-DNA glycosylase],[evalue=3.27651E-65]
[locus_tag=SynWH7803_1475],[protein_id=CAK23901.1],[gene=ispG],[protein=4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase],[locus_tag=PMM0676],[protein_id=CAE19135.1],[gene=gcpE],[protein=GcpE protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1476],[protein_id=CAK23902.1],[gene=ctpA],[protein=Carboxyl-terminal processing protease],[locus_tag=PMM0677],[protein_id=CAE19136.1],[gene=None],[protein=carboxyl-terminal processing protease],[evalue=4.93389E-166],[locus_tag=PMM0324],[protein_id=CAE18783.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase precursor],[evalue=9.92671E-81]
[locus_tag=SynWH7803_1480],[protein_id=CAK23906.1],[gene=mfd],[protein=Transcription-repair coupling factor],[locus_tag=PMM0839],[protein_id=CAE19298.1],[gene=None],[protein=Transcriptional-repair coupling factor],[evalue=0.00000E+00],[locus_tag=PMM0756],[protein_id=CAE19215.1],[gene=recG],[protein=ATP-dependent DNA helicase recG],[evalue=4.48271E-72]
[locus_tag=SynWH7803_1484],[protein_id=CAK23910.1],[gene=None],[protein=Uncharacterized membrane protein],[locus_tag=PMM0669],[protein_id=CAE19128.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.99649E-85]
[locus_tag=SynWH7803_1487],[protein_id=CAK23913.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0668],[protein_id=CAE19127.1],[gene=None],[protein=Conserved hypothetical protein 46],[evalue=3.88508E-48]
[locus_tag=SynWH7803_1488],[protein_id=CAK23914.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0667],[protein_id=CAE19126.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.66443E-73]
[locus_tag=SynWH7803_1489],[protein_id=CAK23915.1],[gene=None],"[protein=ABC transporter, ATPase component]",[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=1.41903E-76],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=1.61478E-21],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=1.54590E-19]
[locus_tag=SynWH7803_1490],[protein_id=CAK23916.1],[gene=hslO],[protein=33kD chaperonin],[locus_tag=PMM0665],[protein_id=CAE19124.1],[gene=hsp33],[protein=Hsp33 protein],[evalue=6.86479E-133]
[locus_tag=SynWH7803_1491],[protein_id=CAK23917.1],[gene=None],[protein=Cyanobacteria-specific chaperone containing DnaJ domain fused to a membrane domain],[locus_tag=PMM0664],[protein_id=CAE19123.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.18631E-33]
[locus_tag=SynWH7803_1493],[protein_id=CAK23919.1],[gene=prfC],[protein=Peptide chain release factor RF-3],[locus_tag=PMM0663],[protein_id=CAE19122.1],[gene=prfC],[protein=peptide-chain-release factor RF-3],[evalue=0.00000E+00],[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G],[evalue=2.05429E-45],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=1.43043E-25]
[locus_tag=SynWH7803_1494],[protein_id=CAK23920.1],[gene=None],[protein=Possible SAM-dependent methyltransferase],[locus_tag=PMM0662],[protein_id=CAE19121.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.13139E-49]
[locus_tag=SynWH7803_1496],[protein_id=CAK23922.1],[gene=None],[protein=Ribonucleotide reductase],[locus_tag=PMM0661],[protein_id=CAE19120.1],[gene=nrdJ],[protein=ribonucleotide reductase (Class II)],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1500],[protein_id=CAK23926.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.08852E-17]
[locus_tag=SynWH7803_1507],[protein_id=CAK23933.1],[gene=recC],[protein=Exodeoxyribonuclease V gamma chain],[locus_tag=PMM1105],[protein_id=CAE19564.1],[gene=recC],[protein=possible exodeoxyribonuclease V subunit C 125 kD polypeptide],[evalue=1.35028E-99]
[locus_tag=SynWH7803_1508],[protein_id=CAK23934.1],[gene=recB],[protein=Exodeoxyribonuclease V beta chain],[locus_tag=PMM1103],[protein_id=CAE19562.1],[gene=recB],[protein=possible UvrD/REP helicase subunit B],[evalue=5.59969E-146]
[locus_tag=SynWH7803_1509],[protein_id=CAK23935.1],[gene=recD],[protein=Exodeoxyribonuclease V alpha chain],[locus_tag=PMM1102],[protein_id=CAE19561.1],[gene=recD],[protein=possible exodeoxyribonuclease V 67 kD polypeptide],[evalue=2.80328E-69]
[locus_tag=SynWH7803_1510],[protein_id=CAK23936.1],[gene=None],[protein=Mannose-6-phosphate isomerase],[locus_tag=PMM1196],[protein_id=CAE19655.1],[gene=manC],[protein=GDP-mannose pyrophosphorylase],[evalue=1.34480E-22]
[locus_tag=SynWH7803_1511],[protein_id=CAK23937.1],[gene=None],[protein=Superfamily II DNA/RNA helicase],[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1514],[protein_id=CAK23940.1],[gene=rbpD],"[protein=RNA-binding protein, RRM domain]",[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=5.09649E-38],[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=2.86225E-30]
[locus_tag=SynWH7803_1516],[protein_id=CAK23942.1],[gene=None],[protein=ABC-type multidrug transport system ATPase and permease components],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=0.00000E+00],[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=1.24121E-78],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=7.68183E-74]
[locus_tag=SynWH7803_1521],[protein_id=CAK23947.1],[gene=None],[protein=Outer membrane efflux protein],[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein],[evalue=6.37084E-16]
[locus_tag=SynWH7803_1524],[protein_id=CAK23950.1],[gene=psbP],[protein=Photosystem II PsbP protein],[locus_tag=PMM1098],[protein_id=CAE19557.1],[gene=psbP],[protein=photosystem II oxygen evolving complex protein PsbP],[evalue=1.03857E-74]
[locus_tag=SynWH7803_1525],[protein_id=CAK23951.1],[gene=recR],[protein=Recombination protein RecR],[locus_tag=PMM1097],[protein_id=CAE19556.1],[gene=recR],[protein=RecR protein],[evalue=1.29185E-100]
[locus_tag=SynWH7803_1526],[protein_id=CAK23952.1],[gene=lipA],[protein=Lipoyl synthase],[locus_tag=PMM1096],[protein_id=CAE19555.1],"[gene=lipA,lip]",[protein=Lipoate synthase],[evalue=2.73801E-129],[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase],[evalue=1.68075E-79]
[locus_tag=SynWH7803_1527],[protein_id=CAK23953.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1095],[protein_id=CAE19554.1],[gene=F2J10.13],[protein=conserved hypothetical protein],[evalue=5.55930E-47]
[locus_tag=SynWH7803_1528],[protein_id=CAK23954.1],[gene=None],[protein=Putative glutathione S-transferase],[locus_tag=PMM0630],[protein_id=CAE19089.1],"[gene=GSTTLp28,P28,GSTO1]",[protein=Glutathione S-transferase N terminus],[evalue=3.21361E-52]
[locus_tag=SynWH7803_1529],[protein_id=CAK23955.1],[gene=None],[protein=Glutathione S-transferase family protein],[locus_tag=PMM1094],[protein_id=CAE19553.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.80122E-92]
[locus_tag=SynWH7803_1530],[protein_id=CAK23956.1],[gene=bioB],[protein=Biotin synthase],[locus_tag=PMM1093],[protein_id=CAE19552.1],[gene=BioB],[protein=Biotin synthase],[evalue=1.56696E-155]
[locus_tag=SynWH7803_1531],[protein_id=CAK23957.1],[gene=uppS],[protein=Undecaprenyl pyrophosphate synthetase],[locus_tag=PMM1092],[protein_id=CAE19551.1],[gene=uppS],[protein=Undecaprenyl pyrophosphate synthetase (UPPS)],[evalue=5.98464E-99]
[locus_tag=SynWH7803_1532],[protein_id=CAK23958.1],[gene=None],"[protein=Conserved hypothetical membrane protein, possible metal dependent phosphoesterase]",[locus_tag=PMM1091],[protein_id=CAE19550.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.50790E-126]
[locus_tag=SynWH7803_1533],[protein_id=CAK23959.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[locus_tag=PMM1090],[protein_id=CAE19549.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1534],[protein_id=CAK23960.1],[gene=None],[protein=Predicted acetyltransferase],[locus_tag=PMM1089],[protein_id=CAE19548.1],[gene=None],[protein=putative ribosomal-protein-alanine acetyltransferase],[evalue=1.93830E-19]
[locus_tag=SynWH7803_1535],[protein_id=CAK23961.1],[gene=clpA],[protein=ATP-dependent Clp protease ATP-binding subunit clpA homolog],[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[evalue=0.00000E+00],[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[evalue=4.12905E-15],[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_1536],[protein_id=CAK23962.1],[gene=gldA],[protein=Glycerol dehydrogenase],[locus_tag=PMM1087],[protein_id=CAE19546.1],[gene=gldA],[protein=putative glycerol dehydrogenase],[evalue=1.30196E-126]
[locus_tag=SynWH7803_1537],[protein_id=CAK23963.1],[gene=None],[protein=Predicted hydrolase or acyltransferase (alpha/beta hydrolase superfamily)],[locus_tag=PMM1086],[protein_id=CAE19545.1],[gene=todF],"[protein=2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]",[evalue=5.59835E-84]
[locus_tag=SynWH7803_1539],[protein_id=CAK23965.1],[gene=cdsA],[protein=Phosphatidate cytidylyltransferase],[locus_tag=PMM1085],[protein_id=CAE19544.1],[gene=None],[protein=Phosphatidate cytidylyltransferase],[evalue=5.19648E-107]
[locus_tag=SynWH7803_1540],[protein_id=CAK23966.1],[gene=None],[protein=Arginine/lysine/ornithine decarboxylase],[locus_tag=PMM1084],[protein_id=CAE19543.1],[gene=cad],[protein=Orn/Lys/Arg decarboxylases family 1],[evalue=5.81659E-138]
[locus_tag=SynWH7803_1542],[protein_id=CAK23968.1],[gene=aarF],[protein=Predicted protein kinase],[locus_tag=PMM1083],[protein_id=CAE19542.1],[gene=None],[protein=possible kinase],[evalue=0.00000E+00],[locus_tag=PMM1714],[protein_id=CAE20173.1],[gene=None],[protein=possible protein kinase:ABC1 family],[evalue=5.12648E-121],[locus_tag=PMM0209],[protein_id=CAE18668.1],[gene=None],[protein=possible kinase],[evalue=1.45891E-74]
[locus_tag=SynWH7803_1544],[protein_id=CAK23970.1],[gene=rpoD],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=2.04454E-166],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=6.26058E-82],[locus_tag=PMM0496],[protein_id=CAE18955.1],"[gene=sigA, rpoD]",[protein=Putative principal RNA polymerase sigma factor],[evalue=1.38974E-75]
[locus_tag=SynWH7803_1545],[protein_id=CAK23971.1],[gene=phoB],"[protein=Two-component system response regulator, phosphate sensing PhoB]",[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=4.95817E-104],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=3.04395E-48],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=1.55955E-44]
[locus_tag=SynWH7803_1546],[protein_id=CAK23972.1],[gene=phoR],"[protein=Two-component system sensor histidine kinase, phosphate sensing PhoR]",[locus_tag=PMM0706],[protein_id=CAE19165.1],[gene=phoR],"[protein=two-component sensor histidine kinase, phosphate sensing]",[evalue=8.55466E-87],[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[evalue=5.68960E-22],[locus_tag=PMM1341],[protein_id=CAE19800.1],[gene=nblS],[protein=two-component sensor histidine kinase],[evalue=4.45383E-18]
[locus_tag=SynWH7803_1547],[protein_id=CAK23973.1],[gene=rsuA],[protein=16S rRNA pseudouridylate synthase],[locus_tag=PMM0658],[protein_id=CAE19117.1],[gene=rsuA],[protein=putative pseudouridylate synthase specific to ribosomal small subunit],[evalue=5.84294E-33]
[locus_tag=SynWH7803_1549],[protein_id=CAK23975.1],[gene=malQ],[protein=Alpha-glycosidase of family GH77; probable 4-alpha-glucanotransferase],[locus_tag=PMM1081],[protein_id=CAE19540.1],[gene=malQ],[protein=Putative 4-alpha-glucanotransferase],[evalue=1.47002E-180]
[locus_tag=SynWH7803_1553],[protein_id=CAK23979.1],[gene=prs],[protein=Ribose-phosphate pyrophosphokinase],[locus_tag=PMM1080],[protein_id=CAE19539.1],[gene=kprS],[protein=Ribose-phosphate pyrophosphokinase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1555],[protein_id=CAK23981.1],[gene=pepN],[protein=Aminopeptidase N],[locus_tag=PMM1002],[protein_id=CAE19461.1],[gene=pepN],[protein=probable aminopeptidase N],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1556],[protein_id=CAK23982.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[locus_tag=PMM1079],[protein_id=CAE19538.1],[gene=None],[protein=possible Villin headpiece domain],[evalue=1.70296E-28]
[locus_tag=SynWH7803_1557],[protein_id=CAK23983.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1078],[protein_id=CAE19537.1],[gene=None],[protein=conserved hypothetical],[evalue=5.33432E-52]
[locus_tag=SynWH7803_1558],[protein_id=CAK23984.1],[gene=sasA],[protein=Adaptive-response sensory-kinase SasA],[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[evalue=0.00000E+00],[locus_tag=PMM1341],[protein_id=CAE19800.1],[gene=nblS],[protein=two-component sensor histidine kinase],[evalue=5.23668E-17],[locus_tag=PMM0706],[protein_id=CAE19165.1],[gene=phoR],"[protein=two-component sensor histidine kinase, phosphate sensing]",[evalue=2.68175E-11]
[locus_tag=SynWH7803_1559],[protein_id=CAK23985.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1076],[protein_id=CAE19535.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.20872E-61]
[locus_tag=SynWH7803_1560],[protein_id=CAK23986.1],[gene=petH],[protein=Ferredoxin-NADP oxidoreductase],[locus_tag=PMM1075],[protein_id=CAE19534.1],[gene=petH],[protein=ferredoxin-NADP oxidoreductase (FNR)],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1561],[protein_id=CAK23987.1],[gene=zwf],[protein=Glucose-6-phosphate 1-dehydrogenase],[locus_tag=PMM1074],[protein_id=CAE19533.1],[gene=zwf],[protein=Glucose-6-phosphate dehydrogenase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1562],[protein_id=CAK23988.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA],[locus_tag=PMM1073],[protein_id=CAE19532.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA],[evalue=1.43120E-136]
[locus_tag=SynWH7803_1563],[protein_id=CAK23989.1],[gene=cobB],"[protein=Cobyrinic acid a,c-diamide synthase]",[locus_tag=PMM1072],[protein_id=CAE19531.1],"[gene=cbiA,cobB]","[protein=putative Cobyrinic acid a,c-diamide synthase]",[evalue=1.76607E-124]
[locus_tag=SynWH7803_1565],[protein_id=CAK23991.1],[gene=None],[protein=Phosphoglycerate mutase family protein],[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=possible alpha-ribazole-5'-P phosphatase],[evalue=2.43387E-12]
[locus_tag=SynWH7803_1568],[protein_id=CAK23994.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1071],[protein_id=CAE19530.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.74519E-54]
[locus_tag=SynWH7803_1569],[protein_id=CAK23995.1],[gene=crtE],[protein=Geranylgeranyl pyrophosphate synthase],[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase],[evalue=3.75710E-159],[locus_tag=PMM0618],[protein_id=CAE19077.1],[gene=sds],[protein=polyprenyl synthetase; solanesyl diphosphate synthase (sds)],[evalue=5.56463E-23]
[locus_tag=SynWH7803_1570],[protein_id=CAK23996.1],[gene=folD],[protein=FolD bifunctional protein (PPDC) (Methylenetetrahydrofolate dehydrogenase / Methenyltetrahydrofolate cyclohydrolase)],[locus_tag=PMM1069],[protein_id=CAE19528.1],[gene=folD],[protein=putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase],[evalue=1.53468E-106]
[locus_tag=SynWH7803_1571],[protein_id=CAK23997.1],[gene=None],[protein=Predicted membrane-associated HD superfamily hydrolase],[locus_tag=PMM1068],[protein_id=CAE19527.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.82768E-172]
[locus_tag=SynWH7803_1572],[protein_id=CAK23998.1],[gene=RluA],[protein=Ribosomal large subunit pseudouridine synthase A],[locus_tag=PMM0193],[protein_id=CAE18652.1],[gene=rluD],[protein=putative pseudouridylate synthase specific to ribosomal large subunit],[evalue=3.93919E-24]
[locus_tag=SynWH7803_1573],[protein_id=CAK23999.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1067],[protein_id=CAE19526.1],[gene=None],[protein=possible Adenoviral fiber protein (repeat/shaf],[evalue=2.19209E-34]
[locus_tag=SynWH7803_1580],[protein_id=CAK24006.1],[gene=petF],[protein=Ferredoxin],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=6.69551E-41],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=6.50246E-22],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=4.88160E-18]
