[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_01483],[protein_id=CRY92210.1],[gene=hli],[protein=high light inducible protein],[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[evalue=1.88902E-06]
[locus_tag=SynWH8103_01486],[protein_id=CRY92213.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1919],[protein_id=CAP16424.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.01882E-17]
[locus_tag=SynWH8103_01488],[protein_id=CRY92215.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0340],[protein_id=CAE18799.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.57762E-38]
[locus_tag=SynWH8103_01491],[protein_id=CRY92217.1],[gene=None],[protein=ABC transporter family protein],[locus_tag=PMM0807],[protein_id=CAE19266.1],[gene=None],"[protein=possible ABC transporter component, ATP-binding domain]",[evalue=4.71410E-55],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.04942E-21],[locus_tag=PMM0672],[protein_id=CAE19131.1],[gene=None],[protein=Putative phosphonate ABC transporter],[evalue=5.87177E-16]
[locus_tag=SynWH8103_01490],[protein_id=CRY92218.1],[gene=None],[protein=NAD(P)-binding domain-containing protein],[locus_tag=PMM0801],[protein_id=CAE19260.1],[gene=ycf39],[protein=conserved hypothetical protein],[evalue=2.46228E-75]
[locus_tag=SynWH8103_01492],[protein_id=CRY92219.1],[gene=mntB],"[protein=ABC-type Mn2+/Zn2+ transporter, membrane component]",[locus_tag=PMM0603],[protein_id=CAE19062.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=4.90176E-129],[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=2.74590E-16]
[locus_tag=SynWH8103_01494],[protein_id=CRY92222.1],[gene=None],"[protein=ABC-type Mn transport system, ATPase component]",[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[evalue=1.36785E-139],[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[evalue=7.12455E-31],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=5.82708E-27]
[locus_tag=SynWH8103_01496],[protein_id=CRY92223.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn2+/Zn2+]",[locus_tag=PMM0601],[protein_id=CAE19060.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn]",[evalue=4.23247E-113],[locus_tag=PMM1032],[protein_id=CAE19491.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn.]",[evalue=6.91812E-06]
[locus_tag=SynWH8103_01497],[protein_id=CRY92224.1],[gene=nth],[protein=endonuclease III],[locus_tag=PMM0802],[protein_id=CAE19261.1],[gene=None],[protein=putative endonuclease],[evalue=9.83151E-103]
[locus_tag=SynWH8103_01498],[protein_id=CRY92225.1],[gene=petF],[protein=2Fe-2S ferredoxin],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=1.45809E-43],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=2.30199E-21],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=2.98273E-16]
[locus_tag=SynWH8103_01506],[protein_id=CRY92233.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.95479E-18],[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.20741E-17]
[locus_tag=SynWH8103_01508],[protein_id=CRY92235.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0998],[protein_id=CAE19457.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14064E-30]
[locus_tag=SynWH8103_01512],[protein_id=CRY92239.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1462],[protein_id=CAE19921.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.59290E-10]
[locus_tag=SynWH8103_01517],[protein_id=CRY92244.1],[gene=None],[protein=possible NAD-dependent epimerase/dehydratase],[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14245E-10]
[locus_tag=SynWH8103_01526],[protein_id=CRY92253.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=1.30683E-35],[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=8.79410E-32]
[locus_tag=SynWH8103_01538],[protein_id=CRY92265.1],[gene=None],[protein=putative membrane protein],[locus_tag=PMM0347],[protein_id=CAE18806.1],[gene=None],[protein=conserved hypothetical],[evalue=4.20235E-30]
[locus_tag=SynWH8103_01546],[protein_id=CRY92273.1],[gene=None],[protein=acetyltransferase family protein],[locus_tag=PMM0333],[protein_id=CAE18792.1],[gene=rimI],[protein=GCN5-related N-acetyltransferase],[evalue=4.05980E-81]
[locus_tag=SynWH8103_01548],[protein_id=CRY92275.1],[gene=None],[protein=CP12 domain protein],[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein],[evalue=1.32824E-23]
[locus_tag=SynWH8103_01549],[protein_id=CRY92276.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0557],[protein_id=CAE19016.1],[gene=None],[protein=conserved hypothetical],[evalue=2.95544E-22]
[locus_tag=SynWH8103_01552],[protein_id=CRY92279.1],[gene=None],"[protein=alpha-L-glutamate ligases, RimK family protein]",[locus_tag=PMM0178],[protein_id=CAE18637.1],[gene=gshB],[protein=putative Glutathione synthetase],[evalue=2.63976E-14]
[locus_tag=SynWH8103_01553],[protein_id=CRY92280.1],[gene=None],"[protein=bacterial regulatory s, luxR family protein]",[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=2.47042E-07]
[locus_tag=SynWH8103_01554],[protein_id=CRY92281.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1422],[protein_id=CAE19881.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.06751E-35]
[locus_tag=SynWH8103_01561],[protein_id=CRY92288.1],[gene=None],[protein=Possible zeta-carotene desaturase],[locus_tag=PMM0144],[protein_id=CAE18603.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[evalue=5.38628E-12]
[locus_tag=SynWH8103_01566],[protein_id=CRY92293.1],[gene=None],[protein=nif11-like leader peptide domain protein],[locus_tag=PMM0341],[protein_id=CAE18800.1],[gene=None],[protein=conserved hypothetical],[evalue=1.68873E-23]
[locus_tag=SynWH8103_01575],[protein_id=CRY92302.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1132],[protein_id=CAE19591.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01578],[protein_id=CRY92305.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.18319E-14]
[locus_tag=SynWH8103_01580],[protein_id=CRY92307.1],[gene=None],[protein=cupin domain protein],[locus_tag=PMM1133],[protein_id=CAE19592.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.07000E-24],[locus_tag=PMM1412],[protein_id=CAE19871.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.44027E-19]
[locus_tag=SynWH8103_01590],[protein_id=CRY92317.1],[gene=speB],[protein=agmatinase],[locus_tag=PMM1686],[protein_id=CAE20145.1],[gene=None],[protein=Arginase family],[evalue=8.35547E-24]
[locus_tag=SynWH8103_01592],[protein_id=CRY92319.1],[gene=hypB],[protein=hydrogenase accessory protein HypB],[locus_tag=PMM0969],[protein_id=CAE19428.1],[gene=ureG],[protein=urease accessory protein UreG],[evalue=1.87846E-09]
[locus_tag=SynWH8103_01594],[protein_id=CRY92321.1],[gene=None],"[protein=Putative nitrate ABC transporter, membrane component]",[locus_tag=PMM0371],[protein_id=CAE18830.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=2.96455E-10]
[locus_tag=SynWH8103_01595],[protein_id=CRY92322.1],[gene=None],[protein=ABC transporter family protein],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=2.39708E-73],[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=9.55418E-45],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=2.08718E-39]
[locus_tag=SynWH8103_01596],[protein_id=CRY92323.1],[gene=None],[protein=rieske [2Fe-2S],[locus_tag=PMM0808],[protein_id=CAE19267.1],[gene=None],[protein=Rieske iron-sulfur protein 2Fe-2S subunit],[evalue=3.25571E-10]
[locus_tag=SynWH8103_01598],[protein_id=CRY92325.1],[gene=None],[protein=snoaL-like domain protein],[locus_tag=PMM0380],[protein_id=CAE18839.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.31857E-85]
[locus_tag=SynWH8103_01600],[protein_id=CRY92327.1],[gene=None],"[protein=AIR synthase related, N-terminal domain protein]",[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[evalue=8.08979E-09]
[locus_tag=SynWH8103_01608],[protein_id=CRY92335.1],[gene=None],[protein=Marine cyanobacteria-specific dnaJ domain containing protein],[locus_tag=PMM0122],[protein_id=CAE18581.1],[gene=None],[protein=possible heat shock protein DnaJ],[evalue=2.97966E-06]
[locus_tag=SynWH8103_01609],[protein_id=CRY92336.1],[gene=None],[protein=short chain dehydrogenase family protein],[locus_tag=PMM0694],[protein_id=CAE19153.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=8.66620E-84],[locus_tag=PMM0414],[protein_id=CAE18873.1],[gene=None],[protein=putative short chain dehydrogenase],[evalue=4.64261E-19],[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=6.37944E-11]
[locus_tag=SynWH8103_01611],[protein_id=CRY92338.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0341],[protein_id=CAE18800.1],[gene=None],[protein=conserved hypothetical],[evalue=2.85132E-18]
[locus_tag=SynWH8103_01616],[protein_id=CRY92343.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1884],[protein_id=CAP16388.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.52562E-14]
[locus_tag=SynWH8103_01625],[protein_id=CRY92352.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1026],[protein_id=CAE19485.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.43731E-20],[locus_tag=PMM0703],[protein_id=CAE19162.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.79816E-14]
[locus_tag=SynWH8103_01627],[protein_id=CRY92354.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0733],[protein_id=CAE19192.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.03901E-144]
[locus_tag=SynWH8103_01634],[protein_id=CRY92361.1],[gene=rpsU],[protein=30S ribosomal protein S21],[locus_tag=PMM0987],[protein_id=CAE19446.1],"[gene=rps21, rpsU]",[protein=30S Ribosomal protein S21],[evalue=1.42894E-30]
[locus_tag=SynWH8103_01635],[protein_id=CRY92362.1],[gene=None],[protein=putative membrane protein],[locus_tag=PMM0997],[protein_id=CAE19456.1],[gene=None],[protein=possible Protein of unknown function DUF67],[evalue=9.42714E-11]
[locus_tag=SynWH8103_01638],[protein_id=CRY92365.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1365],[protein_id=CAE19824.1],[gene=None],[protein=possible MATH domain],[evalue=6.09714E-06]
[locus_tag=SynWH8103_01642],[protein_id=CRY92369.1],[gene=None],[protein=chlorophyll A-B binding family protein],[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein],[evalue=2.99859E-10],[locus_tag=PMM1317],[protein_id=CAE19776.1],[gene=hli13],[protein=possible high light inducible protein],[evalue=4.52076E-07]
[locus_tag=SynWH8103_01645],[protein_id=CRY92372.1],[gene=None],[protein=Uncharacterized membrane protein],[locus_tag=PMM1359],[protein_id=CAE19818.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.16023E-58],[locus_tag=PMM0265],[protein_id=CAE18724.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.30007E-10]
[locus_tag=SynWH8103_01646],[protein_id=CRY92373.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1409],[protein_id=CAE19868.1],[gene=None],[protein=possible Rubredoxin],[evalue=7.36623E-26],[locus_tag=PMM0364],[protein_id=CAE18823.1],[gene=None],[protein=possible Malic enzyme],[evalue=2.93274E-23],[locus_tag=PMM0996],[protein_id=CAE19455.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.33299E-21]
[locus_tag=SynWH8103_01647],[protein_id=CRY92374.1],[gene=None],[protein=CP12 domain protein],[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein],[evalue=1.99354E-27]
[locus_tag=SynWH8103_01653],[protein_id=CRY92379.1],[gene=None],[protein=sulfite exporter TauE/SafE family protein],[locus_tag=PMM0981],[protein_id=CAE19440.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.80249E-55]
[locus_tag=SynWH8103_01652],[protein_id=CRY92380.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1974],[protein_id=CAP16479.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.25541E-07]
[locus_tag=SynWH8103_01655],[protein_id=CRY92382.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0738],[protein_id=CAE19197.1],[gene=None],[protein=conserved hypothetical],[evalue=2.46218E-13]
[locus_tag=SynWH8103_01658],[protein_id=CRY92385.1],[gene=None],"[protein=conserved hypothetical protein, DUF2358 superfamily]",[locus_tag=PMM1642],[protein_id=CAE20101.1],[gene=None],[protein=possible transcription regulator],[evalue=7.17387E-68]
[locus_tag=SynWH8103_01660],[protein_id=CRY92387.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM2004],[protein_id=CAP16509.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.03272E-21],[locus_tag=PMM1896],[protein_id=CAP16400.1],[gene=None],[protein=Hypothetical protein],[evalue=3.03272E-21]
[locus_tag=SynWH8103_01662],[protein_id=CRY92388.1],[gene=None],[protein=putative hemagglutinin domain-containing protein],[locus_tag=PMM1400],[protein_id=CAE19859.1],[gene=None],[protein=possible Hemagglutinin-neuraminidase],[evalue=5.39565E-70],[locus_tag=PMM1041],[protein_id=CAE19500.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.76836E-31]
[locus_tag=SynWH8103_01663],[protein_id=CRY92390.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1805],[protein_id=CAP16307.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.26413E-06]
[locus_tag=SynWH8103_01667],[protein_id=CRY92394.1],[gene=psbA],[protein=photosystem II protein D1.2],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=4.60449E-49]
[locus_tag=SynWH8103_01668],[protein_id=CRY92395.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0600],[protein_id=CAE19059.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.06595E-89]
[locus_tag=SynWH8103_01671],[protein_id=CRY92398.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0599],[protein_id=CAE19058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.44301E-28]
[locus_tag=SynWH8103_01672],[protein_id=CRY92399.1],[gene=trpS],[protein=tryptophan--tRNA ligase],[locus_tag=PMM0598],[protein_id=CAE19057.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase],[evalue=8.00256E-169]
[locus_tag=SynWH8103_01675],[protein_id=CRY92402.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[evalue=5.84686E-165]
[locus_tag=SynWH8103_01676],[protein_id=CRY92403.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1166],[protein_id=CAE19625.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.18691E-34]
[locus_tag=SynWH8103_01677],[protein_id=CRY92404.1],[gene=glk],[protein=glucokinase],[locus_tag=PMM0596],[protein_id=CAE19055.1],[gene=None],[protein=Putative glucokinase],[evalue=1.13712E-103]
[locus_tag=SynWH8103_01678],[protein_id=CRY92405.1],[gene=thrB],[protein=homoserine kinase],[locus_tag=PMM0595],[protein_id=CAE19054.1],[gene=thrB],[protein=Homoserine kinase:GHMP kinases putative ATP-binding domain],[evalue=8.56034E-177]
[locus_tag=SynWH8103_01679],[protein_id=CRY92406.1],[gene=ndhD2],[protein=NADH dehydrogenase I subunit NdhD (chain 4)],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 4)],[evalue=0.00000E+00],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)],[evalue=1.88812E-177],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[evalue=1.28816E-15]
[locus_tag=SynWH8103_01680],[protein_id=CRY92407.1],[gene=None],[protein=peptidase M3 family protein],[locus_tag=PMM0593],[protein_id=CAE19052.1],[gene=None],[protein=Peptidase family M3],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01681],[protein_id=CRY92408.1],[gene=None],[protein=lipase family protein],[locus_tag=PMM0592],[protein_id=CAE19051.1],[gene=None],[protein=lipase family protein],[evalue=9.51079E-52]
[locus_tag=SynWH8103_01682],[protein_id=CRY92409.1],[gene=folB],[protein=dihydroneopterin aldolase],[locus_tag=PMM0591],[protein_id=CAE19050.1],[gene=folB],[protein=Possible dihydroneopterin aldolase],[evalue=3.95025E-33]
[locus_tag=SynWH8103_01683],[protein_id=CRY92410.1],[gene=proA],[protein=glutamate-5-semialdehyde dehydrogenase],[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01685],[protein_id=CRY92412.1],[gene=None],[protein=uncharacterized conserved membrane protein],[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical],[evalue=1.31795E-76],[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical],[evalue=5.31872E-07]
[locus_tag=SynWH8103_01686],[protein_id=CRY92413.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0588],[protein_id=CAE19047.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.72497E-35]
[locus_tag=SynWH8103_01687],[protein_id=CRY92414.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0587],[protein_id=CAE19046.1],[gene=None],[protein=conserved hypothetical],[evalue=1.63392E-23]
[locus_tag=SynWH8103_01688],[protein_id=CRY92415.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0586],[protein_id=CAE19045.1],[gene=None],[protein=conserved hypothetical],[evalue=7.51885E-17]
[locus_tag=SynWH8103_01689],[protein_id=CRY92416.1],[gene=None],[protein=hydrolase CocE/NonD family protein],[locus_tag=PMM0585],[protein_id=CAE19044.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
