[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase],[locus_tag=Syncc8109_0118],[protein_id=AHF62538.1],[gene=None],[protein=glutathione peroxidase],[evalue=1.22586E-72]
[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[locus_tag=Syncc8109_2124],[protein_id=AHF64461.1],[gene=None],[protein=Dihydrouridine synthase TIM-barrel protein nifR3],[evalue=5.94417E-127],[locus_tag=Syncc8109_0016],[protein_id=AHF62442.1],[gene=None],[protein=uncharacterized protein family UPF0034],[evalue=1.29811E-27]
[locus_tag=PMM1010],[protein_id=CAE19469.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0496],[protein_id=AHF62895.1],[gene=None],[protein=hypothetical protein],[evalue=2.31837E-14]
[locus_tag=PMM1012],[protein_id=CAE19471.1],[gene=None],[protein=4-hydroxybenzoyl-CoA thioesterase family active site],[locus_tag=Syncc8109_0509],[protein_id=AHF62908.1],[gene=None],[protein=hypothetical protein],[evalue=9.80574E-31]
[locus_tag=PMM1013],[protein_id=CAE19472.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1863],[protein_id=AHF64215.1],[gene=None],[protein=hypothetical protein],[evalue=2.46034E-21]
[locus_tag=PMM1015],[protein_id=CAE19474.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0716],[protein_id=AHF63096.1],[gene=None],[protein=hypothetical protein],[evalue=2.57337E-40]
[locus_tag=PMM1020],[protein_id=CAE19479.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1693],[protein_id=AHF64050.1],[gene=None],[protein=hypothetical protein],[evalue=4.56348E-19]
[locus_tag=PMM1026],[protein_id=CAE19485.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1611],[protein_id=AHF63968.1],[gene=None],[protein=hypothetical protein],[evalue=1.03350E-17]
[locus_tag=PMM1028],[protein_id=CAE19487.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1095],[protein_id=AHF63466.1],[gene=None],[protein=hypothetical protein],[evalue=1.21420E-33]
[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[locus_tag=Syncc8109_1022],[protein_id=AHF63396.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=1.33526E-81],[locus_tag=Syncc8109_1176],[protein_id=AHF63546.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=2.39713E-16]
[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family],[locus_tag=Syncc8109_2640],[protein_id=AHF64947.1],[gene=None],"[protein=putative ferric uptake regulator, FUR family]",[evalue=2.95086E-48],[locus_tag=Syncc8109_0904],[protein_id=AHF63281.1],[gene=fur],"[protein=putative ferric uptake regulator, FUR family]",[evalue=6.43483E-12]
[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[locus_tag=Syncc8109_1023],[protein_id=AHF63397.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[evalue=2.53943E-72],[locus_tag=Syncc8109_1174],[protein_id=AHF63544.1],[gene=None],[protein=ATPase],[evalue=4.83135E-34],[locus_tag=Syncc8109_0880],[protein_id=AHF63257.1],[gene=glnQ],[protein=ATPase],[evalue=5.60836E-24]
[locus_tag=PMM1033],[protein_id=CAE19492.1],[gene=None],[protein=Cobalamin synthesis protein/P47K],[locus_tag=Syncc8109_0621],[protein_id=AHF63007.1],[gene=None],[protein=hypothetical protein],[evalue=3.32624E-58],[locus_tag=Syncc8109_0738],[protein_id=AHF63118.1],[gene=None],[protein=hypothetical protein],[evalue=3.40332E-58]
[locus_tag=PMM1037],[protein_id=CAE19496.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_0837],[protein_id=AHF63215.1],[gene=None],[protein=hypothetical protein],[evalue=4.68172E-25]
[locus_tag=PMM1038],[protein_id=CAE19497.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2698],[protein_id=AHF65004.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1039],[protein_id=CAE19498.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2699],[protein_id=AHF65005.1],[gene=None],[protein=hypothetical protein],[evalue=4.17181E-162]
[locus_tag=PMM1040],[protein_id=CAE19499.1],[gene=None],[protein=Transglutaminase-like superfamily],[locus_tag=Syncc8109_2700],[protein_id=AHF65006.1],[gene=None],[protein=Transglutaminase-like protein],[evalue=6.12993E-119]
[locus_tag=PMM1041],[protein_id=CAE19500.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2701],[protein_id=AHF65007.1],[gene=None],[protein=hypothetical protein],[evalue=3.77763E-74]
[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[locus_tag=Syncc8109_1869],[protein_id=AHF64219.1],[gene=None],[protein=hypothetical protein],[evalue=2.05707E-42],[locus_tag=Syncc8109_1428],[protein_id=AHF63790.1],[gene=None],[protein=hypothetical protein],[evalue=3.58751E-26]
[locus_tag=PMM1044],[protein_id=CAE19503.1],[gene=rbsK],[protein=possible pfkB family carbohydrate kinase],[locus_tag=Syncc8109_1202],[protein_id=AHF63572.1],[gene=pfkB],[protein=putative pfkB family carbohydrate kinase],[evalue=2.32866E-91]
[locus_tag=PMM1045],[protein_id=CAE19504.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2413],[protein_id=AHF64730.1],[gene=None],[protein=hypothetical protein],[evalue=8.85164E-23]
[locus_tag=PMM1046],[protein_id=CAE19505.1],[gene=None],"[protein=possible multidrug efflux transporter, MFS family]",[locus_tag=Syncc8109_2057],[protein_id=AHF64398.1],[gene=None],"[protein=putative multidrug efflux transporter, MFS family]",[evalue=2.84424E-69]
[locus_tag=PMM1047],[protein_id=CAE19506.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2056],[protein_id=AHF64397.1],[gene=None],[protein=hypothetical protein],[evalue=4.42463E-97],[locus_tag=Syncc8109_2759],[protein_id=AHF65065.1],[gene=None],[protein=hypothetical protein],[evalue=6.70008E-20]
[locus_tag=PMM1048],[protein_id=CAE19507.1],[gene=None],"[protein=putative ABC transporter, oligopeptides]",[locus_tag=Syncc8109_2055],[protein_id=AHF64396.1],[gene=dppB],"[protein=putative ABC transporter, oligopeptide]",[evalue=1.94199E-112]
[locus_tag=PMM1049],[protein_id=CAE19508.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly oligopeptides]",[locus_tag=Syncc8109_2054],[protein_id=AHF64395.1],[gene=None],"[protein=ABC transporter, substrate binding protein]",[evalue=0.00000E+00]
[locus_tag=PMM1051],[protein_id=CAE19510.1],"[gene=thrA,hom]",[protein=Homoserine dehydrogenase:ACT domain],[locus_tag=Syncc8109_2052],[protein_id=AHF64393.1],[gene=thrA],[protein=Homoserine dehydrogenase],[evalue=1.16407E-159]
[locus_tag=PMM1052],[protein_id=CAE19511.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2051],[protein_id=AHF64392.1],[gene=sufE],[protein=putative SufE protein],[evalue=1.04125E-51]
[locus_tag=PMM1053],[protein_id=CAE19512.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2049],[protein_id=AHF64390.1],[gene=None],[protein=hypothetical protein],[evalue=1.27997E-32]
[locus_tag=PMM1054],[protein_id=CAE19513.1],[gene=ruvC],[protein=Crossover junction endodeoxyribonuclease RuvC],[locus_tag=Syncc8109_2048],[protein_id=AHF64389.1],[gene=ruvC],[protein=Holliday junction resolvase RuvC],[evalue=1.48803E-56]
[locus_tag=PMM1055],[protein_id=CAE19514.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]",[locus_tag=Syncc8109_2047],[protein_id=AHF64388.1],[gene=chlI],[protein=Magnesium chelatase ATPase subunit I],[evalue=0.00000E+00],[locus_tag=Syncc8109_0202],[protein_id=AHF62617.1],[gene=chlD],[protein=Magnesium chelatase ATPase subunit D],[evalue=2.29472E-60]
[locus_tag=PMM1056],[protein_id=CAE19515.1],[gene=None],[protein=probable tRNA/rRNA methyltransferase],[locus_tag=Syncc8109_2044],[protein_id=AHF64385.1],[gene=None],"[protein=RNA methyltransferase TrmH, group 1]",[evalue=3.07247E-62]
[locus_tag=PMM1057],[protein_id=CAE19516.1],[gene=cytM],[protein=cytochrome cM],[locus_tag=Syncc8109_2043],[protein_id=AHF64384.1],[gene=cytM],[protein=cytochrome cM],[evalue=1.31984E-35]
[locus_tag=PMM1059],[protein_id=CAE19518.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2042],[protein_id=AHF64383.1],[gene=None],[protein=hypothetical protein],[evalue=4.50017E-35]
[locus_tag=PMM1060],[protein_id=CAE19519.1],[gene=None],[protein=Glutamine amidotransferase class-I],[locus_tag=Syncc8109_2041],[protein_id=AHF64382.1],[gene=hisH],"[protein=imidazole glycerol phosphate synthase, glutamine amidotransferase subunit]",[evalue=4.04455E-66]
[locus_tag=PMM1061],[protein_id=CAE19520.1],[gene=trxA],[protein=Thioredoxin],[locus_tag=Syncc8109_2040],[protein_id=AHF64381.1],[gene=trxA_1],[protein=thioredoxin],[evalue=4.57212E-69],[locus_tag=Syncc8109_0648],[protein_id=AHF63033.1],[gene=trxA],[protein=thioredoxin],[evalue=5.63821E-30]
[locus_tag=PMM1062],[protein_id=CAE19521.1],[gene=guaB],[protein=putative IMP dehydrogenase],[locus_tag=Syncc8109_2039],[protein_id=AHF64380.1],[gene=guaB],[protein=IMP dehydrogenase related 2],[evalue=0.00000E+00]
[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=Syncc8109_2037],[protein_id=AHF64378.1],[gene=gyrA],"[protein=DNA gyrase, A subunit]",[evalue=0.00000E+00],[locus_tag=Syncc8109_0006],[protein_id=AHF62432.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00]
[locus_tag=PMM1064],[protein_id=CAE19523.1],[gene=crtL1],[protein=putative lycopene beta cyclase],[locus_tag=Syncc8109_2036],[protein_id=AHF64377.1],[gene=crtL],"[protein=Lycopene cyclase, beta and epsilon]",[evalue=8.08865E-158]
[locus_tag=PMM1065],[protein_id=CAE19524.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2035],[protein_id=AHF64376.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1066],[protein_id=CAE19525.1],[gene=leuA],[protein=2-isopropylmalate synthase],[locus_tag=Syncc8109_2034],[protein_id=AHF64375.1],[gene=leuA],[protein=2-isopropylmalate synthase],[evalue=0.00000E+00]
[locus_tag=PMM1068],[protein_id=CAE19527.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2025],[protein_id=AHF64368.1],[gene=None],[protein=metal dependent phosphohydrolase],[evalue=2.43818E-165]
[locus_tag=PMM1069],[protein_id=CAE19528.1],[gene=folD],[protein=putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase],[locus_tag=Syncc8109_2024],[protein_id=AHF64367.1],[gene=folD],[protein=Methylenetetrahydrofolate dehydrogenase (NADP+)],[evalue=9.23464E-107]
[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase],[locus_tag=Syncc8109_2021],[protein_id=AHF64364.1],[gene=crtE],[protein=geranylgeranyl pyrophosphate synthase],[evalue=2.48254E-154],[locus_tag=Syncc8109_1551],[protein_id=AHF63911.1],[gene=None],[protein=Trans-hexaprenyltranstransferase],[evalue=2.96349E-26]
[locus_tag=PMM1071],[protein_id=CAE19530.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2020],[protein_id=AHF64363.1],[gene=None],[protein=hypothetical protein],[evalue=5.48848E-52]
[locus_tag=PMM1072],[protein_id=CAE19531.1],"[gene=cbiA,cobB]","[protein=putative Cobyrinic acid a,c-diamide synthase]",[locus_tag=Syncc8109_2015],[protein_id=AHF64358.1],[gene=cbiA],"[protein=cobyrinic acid a,c-diamide synthase]",[evalue=8.17628E-123]
[locus_tag=PMM1073],[protein_id=CAE19532.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA],[locus_tag=Syncc8109_2014],[protein_id=AHF64357.1],[gene=opcA],[protein=putative glucose 6-phosphate dehydrogenase effector OpcA],[evalue=1.33071E-130]
[locus_tag=PMM1074],[protein_id=CAE19533.1],[gene=zwf],[protein=Glucose-6-phosphate dehydrogenase],[locus_tag=Syncc8109_2013],[protein_id=AHF64356.1],[gene=zwf],[protein=glucose-6-phosphate 1-dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1075],[protein_id=CAE19534.1],[gene=petH],[protein=ferredoxin-NADP oxidoreductase (FNR)],[locus_tag=Syncc8109_2012],[protein_id=AHF64355.1],[gene=petH],[protein=ferredoxin--NADP reductase (FNR)],[evalue=0.00000E+00]
[locus_tag=PMM1076],[protein_id=CAE19535.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2011],[protein_id=AHF64354.1],[gene=None],[protein=hypothetical protein],[evalue=2.10903E-55]
[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[locus_tag=Syncc8109_2009],[protein_id=AHF64353.1],[gene=None],[protein=histidine kinase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1010],[protein_id=AHF63384.1],[gene=phoR],[protein=histidine kinase],[evalue=1.14017E-19]
[locus_tag=PMM1078],[protein_id=CAE19537.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2008],[protein_id=AHF64352.1],[gene=None],[protein=hypothetical protein],[evalue=3.34071E-45]
[locus_tag=PMM1079],[protein_id=CAE19538.1],[gene=None],[protein=possible Villin headpiece domain],[locus_tag=Syncc8109_2007],[protein_id=AHF64351.1],[gene=None],[protein=putative cAMP phosphodiesterases class-II],[evalue=9.48715E-15]
[locus_tag=PMM1080],[protein_id=CAE19539.1],[gene=kprS],[protein=Ribose-phosphate pyrophosphokinase],[locus_tag=Syncc8109_1017],[protein_id=AHF63391.1],[gene=kprS],[protein=ribose-phosphate pyrophosphokinase],[evalue=0.00000E+00]
[locus_tag=PMM1081],[protein_id=CAE19540.1],[gene=malQ],[protein=Putative 4-alpha-glucanotransferase],[locus_tag=Syncc8109_1013],[protein_id=AHF63387.1],[gene=malQ],[protein=4-alpha-glucanotransferase],[evalue=0.00000E+00]
[locus_tag=PMM1083],[protein_id=CAE19542.1],[gene=None],[protein=possible kinase],[locus_tag=Syncc8109_1007],[protein_id=AHF63381.1],[gene=None],[protein=putative kinase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2762],[protein_id=AHF65068.1],[gene=None],[protein=putative protein kinase],[evalue=1.12556E-108],[locus_tag=Syncc8109_2587],[protein_id=AHF64894.1],[gene=None],[protein=putative kinase],[evalue=1.10071E-58]
[locus_tag=PMM1084],[protein_id=CAE19543.1],[gene=cad],[protein=Orn/Lys/Arg decarboxylases family 1],[locus_tag=Syncc8109_1006],[protein_id=AHF63380.1],[gene=cad],[protein=Arginine decarboxylase],[evalue=1.22194E-139]
[locus_tag=PMM1085],[protein_id=CAE19544.1],[gene=None],[protein=Phosphatidate cytidylyltransferase],[locus_tag=Syncc8109_1004],[protein_id=AHF63378.1],[gene=None],[protein=putative phosphatidate cytidylyltransferase],[evalue=4.08722E-90]
[locus_tag=PMM1086],[protein_id=CAE19545.1],[gene=todF],"[protein=2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]",[locus_tag=Syncc8109_1002],[protein_id=AHF63376.1],[gene=mhpC],"[protein=putative 2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]",[evalue=2.74139E-89]
[locus_tag=PMM1087],[protein_id=CAE19546.1],[gene=gldA],[protein=putative glycerol dehydrogenase],[locus_tag=Syncc8109_1001],[protein_id=AHF63375.1],[gene=None],[protein=putative glycerol dehydrogenase],[evalue=4.58215E-109]
[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[locus_tag=Syncc8109_1000],[protein_id=AHF63374.1],[gene=clpC],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1681],[protein_id=AHF64038.1],[gene=clpB1],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2584],[protein_id=AHF64891.1],[gene=clpB],[protein=ATPase],[evalue=0.00000E+00]
[locus_tag=PMM1089],[protein_id=CAE19548.1],[gene=None],[protein=putative ribosomal-protein-alanine acetyltransferase],[locus_tag=Syncc8109_0999],[protein_id=AHF63373.1],[gene=rimI],[protein=ribosomal-protein-alanine acetyltransferase],[evalue=1.44582E-18]
[locus_tag=PMM1090],[protein_id=CAE19549.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[locus_tag=Syncc8109_0998],[protein_id=AHF63372.1],[gene=lysA],[protein=diaminopimelate decarboxylase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2598],[protein_id=AHF64905.1],[gene=None],[protein=arginine decarboxylase],[evalue=4.90657E-15]
[locus_tag=PMM1091],[protein_id=CAE19550.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0997],[protein_id=AHF63371.1],[gene=None],[protein=hypothetical protein],[evalue=5.01319E-142]
[locus_tag=PMM1092],[protein_id=CAE19551.1],[gene=uppS],[protein=Undecaprenyl pyrophosphate synthetase (UPPS)],[locus_tag=Syncc8109_0996],[protein_id=AHF63370.1],[gene=uppS],[protein=undecaprenyl diphosphate synthase],[evalue=2.99568E-95]
[locus_tag=PMM1093],[protein_id=CAE19552.1],[gene=BioB],[protein=Biotin synthase],[locus_tag=Syncc8109_0995],[protein_id=AHF63369.1],[gene=BioB],[protein=biotin synthase],[evalue=2.20944E-157]
[locus_tag=PMM1094],[protein_id=CAE19553.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0992],[protein_id=AHF63366.1],[gene=None],[protein=Rhodanese-like protein],[evalue=9.66121E-104]
[locus_tag=PMM1095],[protein_id=CAE19554.1],[gene=F2J10.13],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0990],[protein_id=AHF63364.1],[gene=None],[protein=hypothetical protein],[evalue=1.48342E-42]
[locus_tag=PMM1096],[protein_id=CAE19555.1],"[gene=lipA,lip]",[protein=Lipoate synthase],[locus_tag=Syncc8109_0989],[protein_id=AHF63363.1],[gene=lipA],[protein=lipoic acid synthetase],[evalue=1.02580E-134],[locus_tag=Syncc8109_0333],[protein_id=AHF62742.1],[gene=liaS],[protein=lipoic acid synthetase],[evalue=2.04037E-69]
[locus_tag=PMM1097],[protein_id=CAE19556.1],[gene=recR],[protein=RecR protein],[locus_tag=Syncc8109_0988],[protein_id=AHF63362.1],[gene=recR],[protein=recombination protein RecR],[evalue=3.02502E-100]
[locus_tag=PMM1098],[protein_id=CAE19557.1],[gene=psbP],[protein=photosystem II oxygen evolving complex protein PsbP],[locus_tag=Syncc8109_0987],[protein_id=AHF63361.1],[gene=psbP],[protein=putative photosystem II oxygen-evolving complex 23K protein PsbP],[evalue=1.93490E-71]
[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[locus_tag=Syncc8109_0984],[protein_id=AHF63358.1],[gene=mdlB],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1717],[protein_id=AHF64073.1],[gene=None],[protein=ATPase],[evalue=1.19228E-80],[locus_tag=Syncc8109_0860],[protein_id=AHF63238.1],[gene=mdlB],[protein=ATPase],[evalue=1.53939E-73]
[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[locus_tag=Syncc8109_0979],[protein_id=AHF63353.1],[gene=None],[protein=DEAD/DEAH box helicase-like protein],[evalue=0.00000E+00]
[locus_tag=PMM1102],[protein_id=CAE19561.1],[gene=recD],[protein=possible exodeoxyribonuclease V 67 kD polypeptide],[locus_tag=Syncc8109_0977],[protein_id=AHF63351.1],[gene=recD],"[protein=putative exodeoxyribonuclease V, alpha subunit RecD]",[evalue=1.11735E-80]
[locus_tag=PMM1103],[protein_id=CAE19562.1],[gene=recB],[protein=possible UvrD/REP helicase subunit B],[locus_tag=Syncc8109_0976],[protein_id=AHF63350.1],[gene=recB],"[protein=putative exodeoxyribonuclease V, beta subunit RecB]",[evalue=5.62093E-149]
[locus_tag=PMM1105],[protein_id=CAE19564.1],[gene=recC],[protein=possible exodeoxyribonuclease V subunit C 125 kD polypeptide],[locus_tag=Syncc8109_0974],[protein_id=AHF63348.1],[gene=recC],"[protein=exodeoxyribonuclease V, gamma subunit]",[evalue=1.20898E-87]
[locus_tag=PMM1106],[protein_id=CAE19565.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0971],[protein_id=AHF63345.1],[gene=None],[protein=hypothetical protein],[evalue=9.77178E-46]
