[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM1034],[protein_id=CAE19493.1],[gene=None],[protein=G-protein beta WD-40 repeats],[locus_tag=PMM1034],[protein_id=CAE19493.1],[gene=None],[protein=G-protein beta WD-40 repeats],[evalue=0.00000E+00]
[locus_tag=PMM1951],[protein_id=CAP16456.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1951],[protein_id=CAP16456.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.84043E-38]
[locus_tag=PMM2057],[protein_id=CAX37121.1],[gene=None],[protein=Hypothetical protein],[locus_tag=PMM2057],[protein_id=CAX37121.1],[gene=None],[protein=Hypothetical protein],[evalue=9.07120E-30]
[locus_tag=PMM1952],[protein_id=CAP16457.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1952],[protein_id=CAP16457.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.49282E-34]
[locus_tag=PMM1035],[protein_id=CAE19494.1],[gene=None],"[protein=possible DNA gyrase/topoisomerase IV, subunit]",[locus_tag=PMM1035],[protein_id=CAE19494.1],[gene=None],"[protein=possible DNA gyrase/topoisomerase IV, subunit]",[evalue=2.39219E-75]
[locus_tag=PMM1036],[protein_id=CAE19495.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1036],[protein_id=CAE19495.1],[gene=None],[protein=hypothetical],[evalue=8.06099E-63]
[locus_tag=PMM1037],[protein_id=CAE19496.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1037],[protein_id=CAE19496.1],[gene=None],[protein=conserved hypothetical],[evalue=4.44309E-53]
[locus_tag=PMM1038],[protein_id=CAE19497.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1038],[protein_id=CAE19497.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1039],[protein_id=CAE19498.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1039],[protein_id=CAE19498.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1040],[protein_id=CAE19499.1],[gene=None],[protein=Transglutaminase-like superfamily],[locus_tag=PMM1040],[protein_id=CAE19499.1],[gene=None],[protein=Transglutaminase-like superfamily],[evalue=0.00000E+00]
[locus_tag=PMM1041],[protein_id=CAE19500.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1041],[protein_id=CAE19500.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.15672E-146],[locus_tag=PMM1400],[protein_id=CAE19859.1],[gene=None],[protein=possible Hemagglutinin-neuraminidase],[evalue=2.01079E-30]
[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[evalue=1.75276E-126],[locus_tag=PMM0777],[protein_id=CAE19236.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.05101E-21],[locus_tag=PMM0649],[protein_id=CAE19108.1],[gene=None],[protein=Pentapeptide repeats],[evalue=6.33995E-20]
[locus_tag=PMM1043],[protein_id=CAE19502.1],[gene=None],[protein=possible Borrelia lipoprotein],[locus_tag=PMM1043],[protein_id=CAE19502.1],[gene=None],[protein=possible Borrelia lipoprotein],[evalue=1.02466E-80]
[locus_tag=PMM1953],[protein_id=CAP16458.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1953],[protein_id=CAP16458.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.69490E-40]
[locus_tag=PMM1044],[protein_id=CAE19503.1],[gene=rbsK],[protein=possible pfkB family carbohydrate kinase],[locus_tag=PMM1044],[protein_id=CAE19503.1],[gene=rbsK],[protein=possible pfkB family carbohydrate kinase],[evalue=0.00000E+00]
[locus_tag=PMM1045],[protein_id=CAE19504.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1045],[protein_id=CAE19504.1],[gene=None],[protein=conserved hypothetical],[evalue=3.18770E-64]
[locus_tag=PMM1046],[protein_id=CAE19505.1],[gene=None],"[protein=possible multidrug efflux transporter, MFS family]",[locus_tag=PMM1046],[protein_id=CAE19505.1],[gene=None],"[protein=possible multidrug efflux transporter, MFS family]",[evalue=0.00000E+00]
[locus_tag=PMM1047],[protein_id=CAE19506.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1047],[protein_id=CAE19506.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1048],[protein_id=CAE19507.1],[gene=None],"[protein=putative ABC transporter, oligopeptides]",[locus_tag=PMM1048],[protein_id=CAE19507.1],[gene=None],"[protein=putative ABC transporter, oligopeptides]",[evalue=0.00000E+00]
[locus_tag=PMM1049],[protein_id=CAE19508.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly oligopeptides]",[locus_tag=PMM1049],[protein_id=CAE19508.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly oligopeptides]",[evalue=0.00000E+00]
[locus_tag=PMM1050],[protein_id=CAE19509.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1050],[protein_id=CAE19509.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.74769E-61]
[locus_tag=PMM1051],[protein_id=CAE19510.1],[gene=None],[protein=None],[locus_tag=PMM1051],[protein_id=CAE19510.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1052],[protein_id=CAE19511.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1052],[protein_id=CAE19511.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.30476E-101]
[locus_tag=PMM1053],[protein_id=CAE19512.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1053],[protein_id=CAE19512.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.08180E-137]
[locus_tag=PMM1054],[protein_id=CAE19513.1],[gene=ruvC],[protein=Crossover junction endodeoxyribonuclease RuvC],[locus_tag=PMM1054],[protein_id=CAE19513.1],[gene=ruvC],[protein=Crossover junction endodeoxyribonuclease RuvC],[evalue=9.71928E-116]
[locus_tag=PMM1055],[protein_id=CAE19514.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]",[locus_tag=PMM1055],[protein_id=CAE19514.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]",[evalue=0.00000E+00],[locus_tag=PMM0288],[protein_id=CAE18747.1],[gene=chlD],"[protein=Protoporphyrin IX Magnesium chelatase, ChlD subunit]",[evalue=1.19411E-55]
[locus_tag=PMM1056],[protein_id=CAE19515.1],[gene=None],[protein=probable tRNA/rRNA methyltransferase],[locus_tag=PMM1056],[protein_id=CAE19515.1],[gene=None],[protein=probable tRNA/rRNA methyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM1057],[protein_id=CAE19516.1],[gene=cytM],[protein=cytochrome cM],[locus_tag=PMM1057],[protein_id=CAE19516.1],[gene=cytM],[protein=cytochrome cM],[evalue=1.21169E-100]
[locus_tag=PMM1058],[protein_id=CAE19517.1],[gene=petG],"[protein=Cytochrome b6/f complex, subunit V]",[locus_tag=PMM1058],[protein_id=CAE19517.1],[gene=petG],"[protein=Cytochrome b6/f complex, subunit V]",[evalue=3.09441E-24]
[locus_tag=PMM1059],[protein_id=CAE19518.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1059],[protein_id=CAE19518.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.71346E-145]
[locus_tag=PMM1060],[protein_id=CAE19519.1],[gene=None],[protein=Glutamine amidotransferase class-I],[locus_tag=PMM1060],[protein_id=CAE19519.1],[gene=None],[protein=Glutamine amidotransferase class-I],[evalue=7.17651E-153]
[locus_tag=PMM1061],[protein_id=CAE19520.1],[gene=trxA],[protein=Thioredoxin],[locus_tag=PMM1061],[protein_id=CAE19520.1],[gene=trxA],[protein=Thioredoxin],[evalue=8.04439E-78],[locus_tag=PMM1150],[protein_id=CAE19609.1],[gene=None],[protein=putative thioredoxin reductase],[evalue=4.04764E-14],[locus_tag=PMM0242],[protein_id=CAE18701.1],[gene=txlA],[protein=thioredoxin-like protein TxlA],[evalue=6.50061E-11]
[locus_tag=PMM1062],[protein_id=CAE19521.1],[gene=guaB],[protein=putative IMP dehydrogenase],[locus_tag=PMM1062],[protein_id=CAE19521.1],[gene=guaB],[protein=putative IMP dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00]
[locus_tag=PMM1064],[protein_id=CAE19523.1],[gene=crtL1],[protein=putative lycopene beta cyclase],[locus_tag=PMM1064],[protein_id=CAE19523.1],[gene=crtL1],[protein=putative lycopene beta cyclase],[evalue=0.00000E+00],[locus_tag=PMM0633],[protein_id=CAE19092.1],[gene=crtL2],[protein=putative lycopene epsilon cyclase],[evalue=3.57324E-131]
[locus_tag=PMM1065],[protein_id=CAE19524.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1065],[protein_id=CAE19524.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1066],[protein_id=CAE19525.1],[gene=leuA],[protein=2-isopropylmalate synthase],[locus_tag=PMM1066],[protein_id=CAE19525.1],[gene=leuA],[protein=2-isopropylmalate synthase],[evalue=0.00000E+00]
[locus_tag=PMM1067],[protein_id=CAE19526.1],[gene=None],[protein=None],[locus_tag=PMM1067],[protein_id=CAE19526.1],[gene=None],[protein=None],[evalue=3.05411E-89]
[locus_tag=PMM1068],[protein_id=CAE19527.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1068],[protein_id=CAE19527.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1069],[protein_id=CAE19528.1],[gene=folD],[protein=putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase],[locus_tag=PMM1069],[protein_id=CAE19528.1],[gene=folD],[protein=putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase],[evalue=0.00000E+00]
[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase],[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase],[evalue=0.00000E+00],[locus_tag=PMM0618],[protein_id=CAE19077.1],[gene=sds],[protein=None],[evalue=4.24810E-25]
[locus_tag=PMM1071],[protein_id=CAE19530.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1071],[protein_id=CAE19530.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.36614E-113]
[locus_tag=PMM1072],[protein_id=CAE19531.1],[gene=None],"[protein=putative Cobyrinic acid a,c-diamide synthase]",[locus_tag=PMM1072],[protein_id=CAE19531.1],[gene=None],"[protein=putative Cobyrinic acid a,c-diamide synthase]",[evalue=0.00000E+00]
[locus_tag=PMM1073],[protein_id=CAE19532.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA],[locus_tag=PMM1073],[protein_id=CAE19532.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA],[evalue=0.00000E+00]
[locus_tag=PMM1074],[protein_id=CAE19533.1],[gene=zwf],[protein=Glucose-6-phosphate dehydrogenase],[locus_tag=PMM1074],[protein_id=CAE19533.1],[gene=zwf],[protein=Glucose-6-phosphate dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1075],[protein_id=CAE19534.1],[gene=petH],[protein=None],[locus_tag=PMM1075],[protein_id=CAE19534.1],[gene=petH],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1402],[protein_id=CAE19861.1],[gene=None],[protein=None],[evalue=6.88424E-22]
[locus_tag=PMM1076],[protein_id=CAE19535.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1076],[protein_id=CAE19535.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.21906E-133]
[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[evalue=0.00000E+00],[locus_tag=PMM1341],[protein_id=CAE19800.1],[gene=nblS],[protein=two-component sensor histidine kinase],[evalue=1.80542E-20],[locus_tag=PMM0706],[protein_id=CAE19165.1],[gene=phoR],"[protein=two-component sensor histidine kinase, phosphate sensing]",[evalue=1.66409E-12]
[locus_tag=PMM1078],[protein_id=CAE19537.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1078],[protein_id=CAE19537.1],[gene=None],[protein=conserved hypothetical],[evalue=8.43146E-134]
[locus_tag=PMM1079],[protein_id=CAE19538.1],[gene=None],[protein=possible Villin headpiece domain],[locus_tag=PMM1079],[protein_id=CAE19538.1],[gene=None],[protein=possible Villin headpiece domain],[evalue=9.96646E-106]
[locus_tag=PMM1080],[protein_id=CAE19539.1],[gene=kprS],[protein=Ribose-phosphate pyrophosphokinase],[locus_tag=PMM1080],[protein_id=CAE19539.1],[gene=kprS],[protein=Ribose-phosphate pyrophosphokinase],[evalue=0.00000E+00]
[locus_tag=PMM1081],[protein_id=CAE19540.1],[gene=malQ],[protein=Putative 4-alpha-glucanotransferase],[locus_tag=PMM1081],[protein_id=CAE19540.1],[gene=malQ],[protein=Putative 4-alpha-glucanotransferase],[evalue=0.00000E+00]
[locus_tag=PMM1082],[protein_id=CAE19541.1],[gene=None],[protein=possible Helix-turn-helix],[locus_tag=PMM1082],[protein_id=CAE19541.1],[gene=None],[protein=possible Helix-turn-helix],[evalue=1.74251E-111]
[locus_tag=PMM1083],[protein_id=CAE19542.1],[gene=None],[protein=possible kinase],[locus_tag=PMM1083],[protein_id=CAE19542.1],[gene=None],[protein=possible kinase],[evalue=0.00000E+00],[locus_tag=PMM1714],[protein_id=CAE20173.1],[gene=None],[protein=None],[evalue=9.31671E-113],[locus_tag=PMM0209],[protein_id=CAE18668.1],[gene=None],[protein=possible kinase],[evalue=4.29105E-61]
[locus_tag=PMM1084],[protein_id=CAE19543.1],[gene=cad],[protein=Orn/Lys/Arg decarboxylases family 1],[locus_tag=PMM1084],[protein_id=CAE19543.1],[gene=cad],[protein=Orn/Lys/Arg decarboxylases family 1],[evalue=0.00000E+00]
[locus_tag=PMM1085],[protein_id=CAE19544.1],[gene=None],[protein=Phosphatidate cytidylyltransferase],[locus_tag=PMM1085],[protein_id=CAE19544.1],[gene=None],[protein=Phosphatidate cytidylyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM1086],[protein_id=CAE19545.1],[gene=todF],"[protein=2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]",[locus_tag=PMM1086],[protein_id=CAE19545.1],[gene=todF],"[protein=2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]",[evalue=0.00000E+00],[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.83499E-13]
[locus_tag=PMM1087],[protein_id=CAE19546.1],[gene=gldA],[protein=putative glycerol dehydrogenase],[locus_tag=PMM1087],[protein_id=CAE19546.1],[gene=gldA],[protein=putative glycerol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[evalue=0.00000E+00],[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00],[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00]
[locus_tag=PMM1089],[protein_id=CAE19548.1],[gene=None],[protein=putative ribosomal-protein-alanine acetyltransferase],[locus_tag=PMM1089],[protein_id=CAE19548.1],[gene=None],[protein=putative ribosomal-protein-alanine acetyltransferase],[evalue=5.26727E-103]
[locus_tag=PMM1090],[protein_id=CAE19549.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[locus_tag=PMM1090],[protein_id=CAE19549.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[evalue=0.00000E+00],[locus_tag=PMM0045],[protein_id=CAE18504.1],[gene=None],[protein=Orn/DAP/Arg decarboxylases family 2],[evalue=6.71225E-13]
[locus_tag=PMM1091],[protein_id=CAE19550.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1091],[protein_id=CAE19550.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1092],[protein_id=CAE19551.1],[gene=uppS],[protein=None],[locus_tag=PMM1092],[protein_id=CAE19551.1],[gene=uppS],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1093],[protein_id=CAE19552.1],[gene=BioB],[protein=Biotin synthase],[locus_tag=PMM1093],[protein_id=CAE19552.1],[gene=BioB],[protein=Biotin synthase],[evalue=0.00000E+00]
[locus_tag=PMM1094],[protein_id=CAE19553.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1094],[protein_id=CAE19553.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1095],[protein_id=CAE19554.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1095],[protein_id=CAE19554.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.97020E-123]
[locus_tag=PMM1096],[protein_id=CAE19555.1],[gene=None],[protein=Lipoate synthase],[locus_tag=PMM1096],[protein_id=CAE19555.1],[gene=None],[protein=Lipoate synthase],[evalue=0.00000E+00],[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase],[evalue=4.73103E-79]
[locus_tag=PMM1097],[protein_id=CAE19556.1],[gene=recR],[protein=RecR protein],[locus_tag=PMM1097],[protein_id=CAE19556.1],[gene=recR],[protein=RecR protein],[evalue=2.70238E-147]
[locus_tag=PMM1098],[protein_id=CAE19557.1],[gene=psbP],[protein=photosystem II oxygen evolving complex protein PsbP],[locus_tag=PMM1098],[protein_id=CAE19557.1],[gene=psbP],[protein=photosystem II oxygen evolving complex protein PsbP],[evalue=3.90763E-139]
[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=0.00000E+00],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.02026E-80],[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=1.79107E-77]
[locus_tag=PMM1100],[protein_id=CAE19559.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1100],[protein_id=CAE19559.1],[gene=None],[protein=hypothetical],[evalue=1.73669E-63]
[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[evalue=0.00000E+00]
[locus_tag=PMM1102],[protein_id=CAE19561.1],[gene=recD],[protein=possible exodeoxyribonuclease V 67 kD polypeptide],[locus_tag=PMM1102],[protein_id=CAE19561.1],[gene=recD],[protein=possible exodeoxyribonuclease V 67 kD polypeptide],[evalue=0.00000E+00]
[locus_tag=PMM1103],[protein_id=CAE19562.1],[gene=recB],[protein=possible UvrD/REP helicase subunit B],[locus_tag=PMM1103],[protein_id=CAE19562.1],[gene=recB],[protein=possible UvrD/REP helicase subunit B],[evalue=0.00000E+00]
[locus_tag=PMM1104],[protein_id=CAE19563.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1104],[protein_id=CAE19563.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.83309E-108]
