[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1490],[protein_id=AHF63852.1],[gene=secD],[protein=protein-export membrane protein SecD],[locus_tag=PMT_0617],[protein_id=CAE20792.1],[gene=secD],[protein=preprotein translocase subunit],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1491],[protein_id=AHF63853.1],[gene=pdhB],[protein=pyruvate dehydrogenase E1 beta subunit],[locus_tag=PMT_0618],[protein_id=CAE20793.1],[gene=pdhB],[protein=pyruvate dehydrogenase E1 beta subunit],[evalue=0.00000E+00],[locus_tag=PMT_0685],[protein_id=CAE20860.1],[gene=Dxs],[protein=1-deoxy-D-xylulose 5-phosphate synthase],[evalue=1.18832E-11]
[locus_tag=Syncc8109_1494],[protein_id=AHF63855.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0619],[protein_id=CAE20794.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.00558E-38]
[locus_tag=Syncc8109_1495],[protein_id=AHF63856.1],[gene=ispE],[protein=4-diphosphocytidyl-2C-methyl-D-erythritol kinase],[locus_tag=PMT_0620],[protein_id=CAE20795.1],[gene=ispE],[protein=Putative 4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK)],[evalue=3.48905E-153]
[locus_tag=Syncc8109_1496],[protein_id=AHF63857.1],[gene=ksgA],[protein=dimethyladenosine transferase],[locus_tag=PMT_0621],[protein_id=CAE20796.1],[gene=None],"[protein=putative rRNA (adenine-N6,N6)-dimethyltransferase]",[evalue=1.52617E-144]
[locus_tag=Syncc8109_1509],[protein_id=AHF63870.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0624],[protein_id=CAE20799.1],[gene=None],[protein=Uncharacterised protein family UPF0102],[evalue=6.57125E-08]
[locus_tag=Syncc8109_1510],[protein_id=AHF63871.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0626],[protein_id=CAE20801.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.41186E-54],[locus_tag=PMT_0557],[protein_id=CAE20732.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.30661E-18],[locus_tag=PMT_0329],[protein_id=CAE20504.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.51845E-13]
[locus_tag=Syncc8109_1511],[protein_id=AHF63872.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0627],[protein_id=CAE20802.1],[gene=None],[protein=hypothetical],[evalue=9.71405E-32]
[locus_tag=Syncc8109_1512],[protein_id=AHF63873.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0632],[protein_id=CAE20807.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.37771E-68]
[locus_tag=Syncc8109_1515],[protein_id=AHF63876.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0799],[protein_id=CAE20974.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.91695E-43]
[locus_tag=Syncc8109_1516],[protein_id=AHF63877.1],[gene=umuD],[protein=putative SOS mutagenesis protein UmuD],[locus_tag=PMT_0635],[protein_id=CAE20810.1],[gene=None],[protein=putative SOS mutagenesis protein UmuD],[evalue=8.80077E-71],[locus_tag=PMT_0380],[protein_id=CAE20555.1],[gene=None],"[protein=SOS function regulatory protein, LexA repressor]",[evalue=6.89649E-11]
[locus_tag=Syncc8109_1517],[protein_id=AHF63878.1],[gene=umuC],[protein=DNA-directed DNA polymerase],[locus_tag=PMT_0638],[protein_id=CAE20813.1],[gene=umuC],[protein=putative UmuC protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1518],[protein_id=AHF63879.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0639],[protein_id=CAE20814.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.79188E-44]
[locus_tag=Syncc8109_1519],[protein_id=AHF63880.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0640],[protein_id=CAE20815.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.93072E-39]
[locus_tag=Syncc8109_1520],[protein_id=AHF63881.1],[gene=dnaG],[protein=DNA primase],[locus_tag=PMT_0641],[protein_id=CAE20816.1],[gene=None],[protein=CHC2 zinc finger:Toprim domain],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1521],[protein_id=AHF63882.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0643],[protein_id=CAE20818.1],[gene=None],"[protein=Integral membrane protein, DUF6]",[evalue=5.37178E-95]
[locus_tag=Syncc8109_1523],[protein_id=AHF63884.1],[gene=ruvA],"[protein=DNA recombination protein, RuvA]",[locus_tag=PMT_0644],[protein_id=CAE20819.1],[gene=ruvA],[protein=putative holliday junction DNA helicase RuvA],[evalue=1.77818E-83]
[locus_tag=Syncc8109_1524],[protein_id=AHF63885.1],[gene=rps15],[protein=ribosomal protein S15],[locus_tag=PMT_0645],[protein_id=CAE20820.1],"[gene=rps15, rpsO]",[protein=30S Ribosomal protein S15],[evalue=2.20467E-51]
[locus_tag=Syncc8109_1525],[protein_id=AHF63886.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0646],[protein_id=CAE20821.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.25700E-42]
[locus_tag=Syncc8109_1526],[protein_id=AHF63887.1],[gene=dnaE],"[protein=DNA polymerase III, alpha subunit]",[locus_tag=PMT_0647],[protein_id=CAE20822.1],[gene=dnaE],"[protein=DNA polymerase III, alpha subunit]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1527],[protein_id=AHF63888.1],[gene=gatA],"[protein=glutamyl-tRNA(Gln) amidotransferase, A subunit]",[locus_tag=PMT_0648],[protein_id=CAE20823.1],[gene=gatA],[protein=Glutamyl-tRNA(Gln) amidotransferase A subunit],[evalue=0.00000E+00],[locus_tag=PMT_1297],[protein_id=CAE21472.1],[gene=None],[protein=None],[evalue=2.94814E-35]
[locus_tag=Syncc8109_1528],[protein_id=AHF63889.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0649],[protein_id=CAE20824.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.90017E-38]
[locus_tag=Syncc8109_1529],[protein_id=AHF63890.1],[gene=None],"[protein=RNA methyltransferase TrmH, group 3]",[locus_tag=PMT_0650],[protein_id=CAE20825.1],[gene=None],[protein=tRNA/rRNA methyltransferase],[evalue=9.59147E-168],[locus_tag=PMT_0268],[protein_id=CAE20443.1],[gene=None],[protein=tRNA/rRNA methyltransferase (SpoU)],[evalue=6.50422E-17],[locus_tag=PMT_0334],[protein_id=CAE20509.1],[gene=spoU],[protein=tRNA/rRNA methyltransferase (SpoU)],[evalue=4.44727E-07]
[locus_tag=Syncc8109_1530],[protein_id=AHF63891.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0651],[protein_id=CAE20826.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.65120E-58]
[locus_tag=Syncc8109_1531],[protein_id=AHF63892.1],[gene=None],"[protein=anti-anti-sigma regulatory factor, SpoIIAA]",[locus_tag=PMT_0652],[protein_id=CAE20827.1],[gene=None],[protein=STAS domain:Anti-sigma factor antagonist],[evalue=9.36828E-53]
[locus_tag=Syncc8109_1532],[protein_id=AHF63893.1],[gene=carA],"[protein=carbamoyl-phosphate synthase, small subunit]",[locus_tag=PMT_0653],[protein_id=CAE20828.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain],[evalue=0.00000E+00],[locus_tag=PMT_2067],[protein_id=CAE22241.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=3.59295E-11]
[locus_tag=Syncc8109_1533],[protein_id=AHF63894.1],[gene=trpD],[protein=anthranilate phosphoribosyltransferase],[locus_tag=PMT_0654],[protein_id=CAE20829.1],[gene=trpD/G],[protein=putative Anthranilate synthase component II],[evalue=7.97198E-167]
[locus_tag=Syncc8109_1534],[protein_id=AHF63895.1],[gene=None],[protein=ATPase],[locus_tag=PMT_0655],[protein_id=CAE20830.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=0.00000E+00],[locus_tag=PMT_1080],[protein_id=CAE21255.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=2.30059E-88],[locus_tag=PMT_0819],[protein_id=CAE20994.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=7.46653E-68]
[locus_tag=Syncc8109_1535],[protein_id=AHF63896.1],[gene=rpaC],[protein=putative regulator],[locus_tag=PMT_0493],[protein_id=CAE20668.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.92781E-46]
[locus_tag=Syncc8109_1538],[protein_id=AHF63899.1],[gene=msrA],[protein=peptide methionine sulfoxide reductase],[locus_tag=PMT_0492],[protein_id=CAE20667.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[evalue=1.44336E-130],[locus_tag=PMT_1408],[protein_id=CAE21583.1],[gene=None],[protein=Peptide methionine sulfoxide reductase],[evalue=2.45043E-32]
[locus_tag=Syncc8109_1540],[protein_id=AHF63901.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0489],[protein_id=CAE20664.1],[gene=None],[protein=hypothetical],[evalue=2.17436E-38]
[locus_tag=Syncc8109_1542],[protein_id=AHF63902.1],[gene=None],[protein=Periplasmic phosphate binding protein],[locus_tag=PMT_0508],[protein_id=CAE20683.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[evalue=1.83187E-159],[locus_tag=PMT_0993],[protein_id=CAE21168.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[evalue=2.58302E-154]
[locus_tag=Syncc8109_1543],[protein_id=AHF63903.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0488],[protein_id=CAE20663.1],[gene=None],[protein=possible Integrase Zinc binding domain],[evalue=2.21557E-21]
[locus_tag=Syncc8109_1545],[protein_id=AHF63905.1],[gene=dnaQ],"[protein=putative DNA polymerase III, epsilon subunit]",[locus_tag=PMT_0386],[protein_id=CAE20561.1],[gene=dnaQ],"[protein=possible DNA polymerase III, epsilon subunit]",[evalue=4.28969E-126]
[locus_tag=Syncc8109_1547],[protein_id=AHF63907.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[locus_tag=PMT_0387],[protein_id=CAE20562.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=3.69726E-70],[locus_tag=PMT_1622],[protein_id=CAE21797.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[evalue=8.10688E-30],[locus_tag=PMT_1012],[protein_id=CAE21187.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=1.36715E-16]
[locus_tag=Syncc8109_1548],[protein_id=AHF63908.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0388],[protein_id=CAE20563.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.64216E-114]
[locus_tag=Syncc8109_1549],[protein_id=AHF63909.1],[gene=acs],[protein=Acetate--CoA ligase],[locus_tag=PMT_0389],[protein_id=CAE20564.1],[gene=acs],[protein=acetyl-coenzyme A synthetase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1550],[protein_id=AHF63910.1],[gene=None],"[protein=HAD-superfamily hydrolase subfamily IA, variant 3]",[locus_tag=PMT_0391],[protein_id=CAE20566.1],[gene=None],[protein=unknown],[evalue=8.49295E-78]
[locus_tag=Syncc8109_1551],[protein_id=AHF63911.1],[gene=None],[protein=Trans-hexaprenyltranstransferase],[locus_tag=PMT_0392],[protein_id=CAE20567.1],[gene=sds],[protein=polyprenyl synthetase; solanesyl diphosphate synthase (sds)],[evalue=0.00000E+00],[locus_tag=PMT_1109],[protein_id=CAE21284.1],[gene=crtE],[protein=Polyprenyl synthetase],[evalue=4.03965E-22]
[locus_tag=Syncc8109_1552],[protein_id=AHF63912.1],[gene=murI],[protein=Glutamate racemase],[locus_tag=PMT_0393],[protein_id=CAE20568.1],[gene=murI],[protein=Putative aspartate and glutamate racemases:Glutamate racemase],[evalue=4.06849E-117]
[locus_tag=Syncc8109_1553],[protein_id=AHF63913.1],[gene=None],[protein=N-acetylmuramoyl-L-alanine amidase],[locus_tag=PMT_0394],[protein_id=CAE20569.1],[gene=None],[protein=Cell wall hydrolase/autolysin],[evalue=1.40415E-157]
[locus_tag=Syncc8109_1554],[protein_id=AHF63914.1],[gene=nit],[protein=putative nitrilase],[locus_tag=PMT_0395],[protein_id=CAE20570.1],[gene=None],[protein=Possible nitrilase],[evalue=5.09455E-170]
[locus_tag=Syncc8109_1555],[protein_id=AHF63915.1],[gene=None],[protein=2-phosphosulfolactate phosphatase],[locus_tag=PMT_0396],[protein_id=CAE20571.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.50596E-116]
[locus_tag=Syncc8109_1556],[protein_id=AHF63916.1],[gene=None],[protein=Carboxylyase-related protein],[locus_tag=PMT_0397],[protein_id=CAE20572.1],[gene=None],"[protein=Protein of unknown function DUF117, putative carboxy-lyase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1557],[protein_id=AHF63917.1],[gene=aroA],[protein=3-phosphoshikimate 1-carboxyvinyltransferase],[locus_tag=PMT_0398],[protein_id=CAE20573.1],[gene=aroA],[protein=EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)],[evalue=0.00000E+00],[locus_tag=PMT_0332],[protein_id=CAE20507.1],[gene=putative murA],[protein=UDP-N-glucosamine 1-carboxyvinyltransferase],[evalue=4.75569E-08]
[locus_tag=Syncc8109_1558],[protein_id=AHF63918.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0399],[protein_id=CAE20574.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.27932E-135]
[locus_tag=Syncc8109_1559],[protein_id=AHF63919.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase],[locus_tag=PMT_0400],[protein_id=CAE20575.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1560],[protein_id=AHF63920.1],[gene=murF],"[protein=UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase]",[locus_tag=PMT_0401],[protein_id=CAE20576.1],[gene=murF],"[protein=UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase]",[evalue=0.00000E+00],[locus_tag=PMT_1434],[protein_id=CAE21609.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[evalue=9.84600E-06]
[locus_tag=Syncc8109_1561],[protein_id=AHF63921.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0402],[protein_id=CAE20577.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14639E-34]
[locus_tag=Syncc8109_1562],[protein_id=AHF63922.1],[gene=glgA],"[protein=Glycogen/starch synthase, ADP-glucose type]",[locus_tag=PMT_0403],[protein_id=CAE20578.1],[gene=None],[protein=Putative ADPglucose--starch glucosyltransferase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1565],[protein_id=AHF63923.1],[gene=menB],[protein=naphthoate synthase],[locus_tag=PMT_0405],[protein_id=CAE20580.1],[gene=menB],[protein=Naphthoate synthase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1566],[protein_id=AHF63924.1],[gene=menD],"[protein=2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase]",[locus_tag=PMT_0406],[protein_id=CAE20581.1],[gene=menD],"[protein=Menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1567],[protein_id=AHF63925.1],[gene=lepB],"[protein=Peptidase S26A, signal peptidase I]",[locus_tag=PMT_0407],[protein_id=CAE20582.1],[gene=lepB],[protein=leader peptidase I],[evalue=3.66357E-81],[locus_tag=PMT_1254],[protein_id=CAE21429.1],[gene=lepB],[protein=Signal peptidase I],[evalue=2.82064E-34]
[locus_tag=Syncc8109_1568],[protein_id=AHF63926.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0408],[protein_id=CAE20583.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.06923E-69]
[locus_tag=Syncc8109_1569],[protein_id=AHF63927.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0409],[protein_id=CAE20584.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.17137E-180]
[locus_tag=Syncc8109_1580],[protein_id=AHF63937.1],[gene=None],[protein=zeta-carotene desaturase-like protein],[locus_tag=PMT_0955],[protein_id=CAE21130.1],[gene=None],[protein=similar to zeta-carotene desaturase],[evalue=0.00000E+00],[locus_tag=PMT_2004],[protein_id=CAE22178.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[evalue=3.16584E-16]
[locus_tag=Syncc8109_1591],[protein_id=AHF63948.1],[gene=dnaJ],[protein=Heat shock protein DnaJ-like protein],[locus_tag=PMT_1977],[protein_id=CAE22151.1],[gene=None],[protein=possible heat shock protein DnaJ],[evalue=1.49457E-07],[locus_tag=PMT_0736],[protein_id=CAE20911.1],[gene=None],[protein=possible DnaJ domain],[evalue=3.79707E-07],[locus_tag=PMT_1548],[protein_id=CAE21723.1],[gene=dnaJ3],[protein=DnaJ3 protein],[evalue=8.52284E-07]
[locus_tag=Syncc8109_1592],[protein_id=AHF63949.1],[gene=None],[protein=short-chain dehydrogenase/reductase (SDR) superfamily],[locus_tag=PMT_1247],[protein_id=CAE21422.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=2.26733E-110],[locus_tag=PMT_0480],[protein_id=CAE20655.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=1.63228E-08],[locus_tag=PMT_1228],[protein_id=CAE21403.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=5.60874E-06]
[locus_tag=Syncc8109_1600],[protein_id=AHF63957.1],[gene=None],[protein=putative ATLS1-like light-inducible protein],[locus_tag=PMT_0503],[protein_id=CAE20678.1],[gene=None],[protein=possible ATLS1-like light-inducible protein],[evalue=1.51902E-45]
[locus_tag=Syncc8109_1602],[protein_id=AHF63959.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1003],[protein_id=CAE21178.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1611],[protein_id=AHF63968.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1034],[protein_id=CAE21209.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.51024E-18],[locus_tag=PMT_0161],[protein_id=CAE20336.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.65116E-17]
[locus_tag=Syncc8109_1615],[protein_id=AHF63972.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0796],[protein_id=CAE20971.1],[gene=None],[protein=possible Early Protein (E6)],[evalue=9.19374E-71]
[locus_tag=Syncc8109_1618],[protein_id=AHF63975.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0840],[protein_id=CAE21015.1],[gene=None],[protein=hypothetical],[evalue=8.50622E-16],[locus_tag=PMT_0989],[protein_id=CAE21164.1],[gene=None],[protein=hypothetical],[evalue=2.56805E-15]
[locus_tag=Syncc8109_1620],[protein_id=AHF63977.1],[gene=rps21],[protein=30S ribosomal protein S21],[locus_tag=PMT_1022],[protein_id=CAE21197.1],"[gene=rps21, rpsU]",[protein=30S Ribosomal protein S21],[evalue=3.97387E-30]
[locus_tag=Syncc8109_1627],[protein_id=AHF63984.1],[gene=None],[protein=membrane protein],[locus_tag=PMT_1856],[protein_id=CAE22031.1],[gene=None],[protein=possible Photosystem II reaction centre T prot],[evalue=1.34099E-14]
[locus_tag=Syncc8109_1628],[protein_id=AHF63985.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1542],[protein_id=CAE21717.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.31776E-28]
[locus_tag=Syncc8109_1635],[protein_id=AHF63992.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2593],[protein_id=CAX32112.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.28349E-11]
[locus_tag=Syncc8109_1636],[protein_id=AHF63993.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1559],[protein_id=CAE21734.1],[gene=None],[protein=conserved hypothetical],[evalue=3.52578E-39]
[locus_tag=Syncc8109_1646],[protein_id=AHF64003.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0303],[protein_id=CAE20478.1],[gene=None],[protein=possible Kelch motif],[evalue=7.34816E-10],[locus_tag=PMT_2115],[protein_id=CAE22289.1],[gene=None],[protein=possible Kelch motif],[evalue=2.36979E-09]
[locus_tag=Syncc8109_1647],[protein_id=AHF64004.1],[gene=psbA1],[protein=photosystem II D1 protein form I],[locus_tag=PMT_1532],[protein_id=CAE21707.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMT_0419],[protein_id=CAE20594.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMT_1179],[protein_id=CAE21354.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=1.03199E-44]
